soldier_id,unit_id,date,p_logreg,p_rforest,p_gboost,anomaly_percentile,risk_score,risk_tier
SLD-00001,UNIT-001,2026-09-02,0.911591404408616,0.9449854439861982,0.7961362,84.35754189944134,87.2,high
SLD-00002,UNIT-007,2026-09-02,0.016825460951907564,0.0008228650770985546,0.00012718193,50.83798882681564,15.7,low
SLD-00003,UNIT-006,2026-09-02,0.012190140315498836,0.025381139360758816,0.0003546224,7.262569832402235,3.1,low
SLD-00004,UNIT-004,2026-09-02,0.9938153571381935,0.9811205151286864,0.96300906,92.73743016759776,96.4,high
SLD-00005,UNIT-004,2026-09-02,0.002303655487567179,0.0030111028161385876,0.00017226643,56.98324022346368,17.2,low
SLD-00006,UNIT-008,2026-09-02,0.008058104014171124,0.023535165591370102,0.00012371055,30.16759776536313,9.8,low
SLD-00007,UNIT-001,2026-09-02,0.1535605706680112,0.30048516425120675,0.013316605,34.63687150837989,21.3,low
SLD-00008,UNIT-007,2026-09-02,0.06009064027022769,0.03661858066124483,0.0010871078,41.340782122905026,14.7,low
SLD-00009,UNIT-002,2026-09-02,0.0006130317008188225,0.0015730140000852133,9.196854e-05,87.15083798882681,26.2,low
SLD-00010,UNIT-001,2026-09-02,0.9747405086356594,0.9071814992706909,0.8851213,94.97206703910615,93.1,high
SLD-00011,UNIT-005,2026-09-02,0.012685172526019589,0.04674558385773912,0.00051117555,35.754189944134076,12.1,low
SLD-00012,UNIT-009,2026-09-02,0.04928331336800822,0.039206759626935005,0.00093816116,11.1731843575419,5.4,low
SLD-00013,UNIT-007,2026-09-02,0.4952226355119642,0.605223994721181,0.09175009,60.33519553072626,45.9,moderate
SLD-00014,UNIT-007,2026-09-02,0.48809711141496204,0.3897091502456001,0.048805755,8.379888268156424,24.1,low
SLD-00015,UNIT-007,2026-09-02,0.014224627490067495,0.020489205740118786,0.0006704885,8.938547486033519,3.5,low
SLD-00016,UNIT-008,2026-09-02,0.03696380012449631,0.0875608386942435,0.0033304256,79.3296089385475,26.8,low
SLD-00017,UNIT-005,2026-09-02,0.3714622318743786,0.627670661802821,0.06519374,81.00558659217877,49.1,moderate
SLD-00018,UNIT-002,2026-09-02,0.0014552354756806015,0.0011039305221216412,0.00013348351,37.988826815642454,11.5,low
SLD-00019,UNIT-008,2026-09-02,0.0006119250917613456,0.0015865003419380083,0.00010146531,54.18994413407822,16.3,low
SLD-00020,UNIT-005,2026-09-02,0.18563737748253129,0.06660995980924354,0.0046735527,2.2346368715083798,6.7,low
SLD-00021,UNIT-005,2026-09-02,0.016546689563019638,0.04841612890599198,0.00023650216,65.92178770949721,21.3,low
SLD-00022,UNIT-004,2026-09-02,0.1287654429279641,0.1656962126150602,0.01595264,73.74301675977654,29.4,low
SLD-00023,UNIT-002,2026-09-02,0.9711528876695201,0.9401263376294421,0.65840244,72.62569832402235,81.7,elevated
SLD-00024,UNIT-009,2026-09-02,0.011210545736787734,0.04730337125332537,0.0007495746,73.18435754189943,23.3,low
SLD-00025,UNIT-008,2026-09-02,0.029195620943321406,0.0306313146152285,0.00039721822,47.486033519553075,15.7,low
SLD-00026,UNIT-006,2026-09-02,0.0016033095081488856,0.004612862961015885,0.000111885005,27.37430167597765,8.4,low
SLD-00027,UNIT-004,2026-09-02,0.005384111837381783,0.005849251380051123,0.000121798985,7.82122905027933,2.6,low
